timestamp,customer_id,channel,product_id,quantity,base_price,payment_terms,discount_percentage,final_price,total_amount
2024-01-06 15:01:00,CUST_000040,Offline,PROD_0052,4,250.61,Net 15,16.62,208.96,835.84
2024-01-08 16:54:00,CUST_000155,Online,PROD_0050,15,343.93,Net 15,23.92,261.66,3924.9
2024-01-02 09:59:00,CUST_000036,Offline,PROD_0057,17,471.28,Net 60,0.52,468.83,7970.11
2024-01-16 05:59:00,CUST_000381,Online,PROD_0062,12,700.72,COD,23.26,537.73,6452.76
2024-01-02 01:25:00,CUST_000247,Online,PROD_0079,6,358.51,COD,3.71,345.21,2071.26
2024-01-13 23:46:00,CUST_000004,Online,PROD_0053,7,113.16,Net 30,5.29,107.17,750.19
2024-01-31 01:38:00,CUST_000497,Online,PROD_0068,17,733.04,Net 60,20.43,583.28,9915.76
2024-01-03 07:22:00,CUST_000374,Online,PROD_0077,11,796.7,Net 30,10.01,716.95,7886.45
2024-01-14 23:54:00,CUST_000453,Offline,PROD_0069,12,255.17,Net 15,10.63,228.05,2736.6
2024-01-27 21:28:00,CUST_000281,Online,PROD_0031,13,145.39,Net 30,6.53,135.9,1766.7
2024-01-07 20:38:00,CUST_000351,Online,PROD_0076,1,532.52,Net 30,5.61,502.65,502.65
2024-01-01 16:40:00,CUST_000334,Online,PROD_0030,18,216.23,Net 15,2.66,210.48,3788.64
2024-01-30 20:12:00,CUST_000414,Online,PROD_0010,19,380.42,Net 30,4.92,361.7,6872.3
2024-01-21 18:52:00,CUST_000431,Online,PROD_0094,11,779.59,Net 30,14.17,669.12,7360.32
2024-01-19 21:30:00,CUST_000249,Online,PROD_0090,18,227.41,Net 15,17.67,187.23,3370.14
2024-01-17 22:22:00,CUST_000012,Online,PROD_0044,10,808.2,Net 15,18.47,658.93,6589.3
2024-01-30 09:09:00,CUST_000283,Online,PROD_0006,6,677.28,Net 15,9.25,614.63,3687.78
2024-01-04 07:53:00,CUST_000429,Online,PROD_0027,2,227.53,Net 30,23.05,175.08,350.16
2024-01-20 19:31:00,CUST_000216,Online,PROD_0020,5,531.14,Net 15,8.22,487.48,2437.4
2024-01-18 13:49:00,CUST_000319,Online,PROD_0092,10,617.93,Net 60,2.78,600.75,6007.5
2024-01-28 13:51:00,CUST_000311,Online,PROD_0020,15,208.27,Net 30,23.63,159.06,2385.9
2024-01-21 23:14:00,CUST_000414,Online,PROD_0012,14,153.5,Net 15,13.52,132.75,1858.5
2024-01-22 03:12:00,CUST_000082,Online,PROD_0085,6,535.86,Net 30,24.28,405.75,2434.5
2024-01-27 22:07:00,CUST_000014,Online,PROD_0094,14,696.9,Net 60,9.84,628.33,8796.62
2024-01-18 11:54:00,CUST_000056,Online,PROD_0049,14,470.42,Net 15,18.93,381.37,5339.18
2024-01-31 13:33:00,CUST_000403,Offline,PROD_0052,12,79.34,Net 15,2.75,77.16,925.92
2024-01-18 23:33:00,CUST_000342,Online,PROD_0010,4,925.96,COD,21.35,728.27,2913.08
2024-01-31 10:40:00,CUST_000282,Offline,PROD_0005,12,698.02,Net 60,4.27,668.21,8018.52
2024-01-12 16:14:00,CUST_000199,Online,PROD_0064,17,624.98,Net 60,1.72,614.23,10441.91
2024-01-25 16:57:00,CUST_000348,Offline,PROD_0058,19,647.19,COD,2.44,631.4,11996.6
2024-01-29 17:31:00,CUST_000166,Offline,PROD_0008,16,404.62,Net 60,13.93,348.26,5572.16
2024-01-22 05:16:00,CUST_000453,Offline,PROD_0030,18,984.56,Net 15,7.3,912.69,16428.42
2024-01-23 23:49:00,CUST_000292,Offline,PROD_0017,6,141.35,COD,24.02,107.4,644.4
2024-01-08 08:05:00,CUST_000146,Online,PROD_0067,9,741.75,Net 30,21.32,583.61,5252.49
2024-01-05 11:56:00,CUST_000441,Online,PROD_0021,19,426.67,Net 15,20.08,340.99,6478.81
2024-01-29 10:56:00,CUST_000078,Online,PROD_0016,12,882.29,Net 60,20.24,703.71,8444.52
2024-01-01 10:18:00,CUST_000112,Online,PROD_0096,11,720.09,COD,22.27,559.73,6157.03
2024-01-09 01:43:00,CUST_000023,Offline,PROD_0027,16,566.63,Net 30,21.63,444.07,7105.12
2024-01-04 03:17:00,CUST_000375,Online,PROD_0006,2,938.32,COD,23.21,720.54,1441.08
2024-01-15 18:12:00,CUST_000116,Offline,PROD_0042,18,913.32,Net 15,23.36,699.97,12599.46
2024-01-19 16:05:00,CUST_000142,Online,PROD_0016,6,61.81,Net 15,7.46,57.2,343.2
2024-01-16 23:11:00,CUST_000480,Online,PROD_0045,5,200.66,COD,5.49,189.64,948.2
2024-01-19 04:16:00,CUST_000197,Offline,PROD_0003,9,679.29,COD,16.08,570.06,5130.54
2024-01-26 22:25:00,CUST_000278,Online,PROD_0040,13,922.62,Net 60,3.08,894.2,11624.6
2024-01-29 00:59:00,CUST_000028,Online,PROD_0020,7,436.03,Net 15,5.28,413.01,2891.07
2024-01-27 23:54:00,CUST_000299,Online,PROD_0007,1,47.92,Net 30,19.32,38.66,38.66
2024-01-10 14:22:00,CUST_000076,Offline,PROD_0059,10,646.86,COD,16.23,541.87,5418.7
2024-01-21 20:42:00,CUST_000018,Offline,PROD_0011,18,202.74,Net 30,16.27,169.75,3055.5
2024-01-13 04:32:00,CUST_000100,Offline,PROD_0093,12,556.8,COD,23.77,424.45,5093.4
2024-01-24 11:10:00,CUST_000479,Online,PROD_0052,3,390.84,Net 15,16.69,325.61,976.83
2024-01-17 03:46:00,CUST_000461,Online,PROD_0003,5,562.45,COD,10.77,501.87,2509.35
2024-01-25 08:20:00,CUST_000468,Online,PROD_0021,14,933.11,Net 60,7.01,867.7,12147.8
2024-01-20 18:18:00,CUST_000124,Online,PROD_0053,15,490.94,Net 30,8.46,449.41,6741.15
2024-01-12 04:41:00,CUST_000365,Online,PROD_0096,12,44.18,COD,6.95,41.11,493.32
2024-01-17 04:53:00,CUST_000292,Online,PROD_0030,4,585.11,Net 15,0.87,580.02,2320.08
2024-01-16 06:27:00,CUST_000125,Online,PROD_0011,16,332.49,COD,6.54,310.75,4972.0
2024-01-09 02:46:00,CUST_000007,Online,PROD_0081,11,780.35,Net 30,20.88,617.41,6791.51
2024-01-16 17:13:00,CUST_000023,Online,PROD_0025,4,475.23,Net 15,18.21,388.69,1554.76
2024-01-03 11:40:00,CUST_000162,Online,PROD_0050,6,743.96,COD,15.55,628.27,3769.62
2024-01-28 06:40:00,CUST_000117,Online,PROD_0089,16,909.73,Net 60,22.56,704.49,11271.84
2024-01-13 17:36:00,CUST_000370,Online,PROD_0009,2,368.65,Net 60,6.6,344.32,688.64
2024-01-13 03:30:00,CUST_000352,Online,PROD_0045,13,989.48,Net 60,14.44,846.6,11005.8
2024-01-02 15:08:00,CUST_000021,Offline,PROD_0029,8,158.31,Net 15,0.78,157.08,1256.64
2024-01-09 05:10:00,CUST_000252,Online,PROD_0062,12,647.49,COD,22.3,503.1,6037.2
2024-01-22 23:21:00,CUST_000326,Offline,PROD_0015,6,44.42,Net 15,11.19,39.45,236.7
2024-01-01 03:44:00,CUST_000464,Online,PROD_0019,3,220.93,Net 60,4.45,211.1,633.3
2024-01-23 12:44:00,CUST_000483,Online,PROD_0015,15,637.44,Net 15,5.98,599.32,8989.8
2024-01-02 08:23:00,CUST_000431,Online,PROD_0039,8,55.73,COD,21.21,43.91,351.28
2024-01-08 06:35:00,CUST_000309,Online,PROD_0035,2,110.77,Net 60,2.72,107.76,215.52
